Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Camillo Finocchiaro Aprile,5175,16.5,POINT (9.200843478477232 45.47829779015941)
Via Claudio Monteverdi,5175,16.5,POINT (9.214787249018311 45.48271068498691)
Via Giuseppe Broggi,5175,16.5,POINT (9.210816586653399 45.4778686270421)
Via Felice Casati,5175,16.5,POINT (9.203655516831065 45.47872083958111)
Via Galvano Fiamma,5175,16.5,POINT (9.211368539479942 45.46501532349621)
Via Francesco Redi,5175,16.5,POINT (9.209795067650163 45.47892004972273)
Via Pietro Maroncelli,5175,16.5,POINT (8.891188181117485 45.43986198552344)
Via Gaspare Spontini,5175,16.5,POINT (9.213815070322624 45.48180503793145)
Via Giovanni Omoboni,5175,16.5,POINT (8.911485103383413 45.39726505773014)
Via Alfredo Cappellini,5175,16.5,POINT (9.202264157547662 45.48161744032093)
Piazza Repubblica,5175,16.5,POINT (8.991495063058792 45.53541504104408)
Via Aldo Manuzio,5175,16.5,POINT (9.200393822055686 45.47882775656908)
Corso Como,5175,16.5,POINT (9.187265111090158 45.48173503895772)
Piazza della Repubblica,5175,16.5,POINT (9.198185476955567 45.47739386413311)
Via Privata Giuseppe Abamonti,5175,16.5,POINT (9.214040082513378 45.47201005065442)
Via Melzo,5175,16.5,POINT (9.208800131631142 45.47439641288869)
Via Lecco,5175,16.5,POINT (9.204351663114332 45.47698479225651)
Via Lazzaro Spallanzani,5175,16.5,POINT (9.208204559040793 45.47666513287155)
Viale Castel Morrone,5175,16.5,POINT (9.21475254139313 45.46963488165793)
Via Lazzaro Palazzi,5175,16.5,POINT (9.204554071711289 45.47702304494932)
Via Achille Zezon,5175,16.5,POINT (9.200374841656647 45.48358015556635)
Via Giulio Uberti,5175,16.5,POINT (9.215933196244148 45.47029544269124)
Corso Buenos Aires,5175,16.5,POINT (9.210600000000056 45.47999000000004)
Largo Fra Paolo Bellintani,5175,16.5,POINT (9.204889544950973 45.47739218123412)
Piazza Argentina,5175,16.5,POINT (9.214746146018454 45.48419200551449)
Via Panfilo Castaldi,5175,16.5,POINT (9.202282545585041 45.4770461488482)
Via Enrico Tazzoli,5175,16.5,POINT (9.183452454770727 45.48502002166819)
Via Pelagio Palagi,5175,16.5,POINT (9.216065066501528 45.47457503875465)
Corso Concordia,5175,16.5,POINT (9.208027924520549 45.46802005519532)
Via Strabone,5175,16.5,POINT (9.187929765107931 45.48894006067898)
Via della Pergola,5175,16.5,POINT (9.187358163679031 45.48819273615469)
Via della Boscaiola,5175,16.5,POINT (9.182405053131628 45.48887859522004)
Via Ulisse Aldrovandi,5175,16.5,POINT (9.211356992993458 45.47951901285471)
Via San Gregorio,5175,16.5,POINT (9.204254008874107 45.47965853417802)
Via San Giovanni alla Paglia,5175,16.5,POINT (9.203007224907585 45.47984924270708)
Via Adelaide Ristori,5175,16.5,POINT (9.214040082513378 45.47147004654235)
Via Ruggero Boscovich,5175,16.5,POINT (9.205765293941779 45.48092417243453)
Via Luigi Razza,5175,16.5,POINT (9.200271087451991 45.4803563430575)
Via Niccolò Paganini,5175,16.5,POINT (9.215971384144488 45.48322824492696)
Via Alessandro Tadino,5175,16.5,POINT (9.204240087049186 45.47530005242456)
Via Giuseppe Ferrari,5175,16.5,POINT (9.184971342443736 45.48482855414905)
Via Gino Bramieri,5175,16.5,POINT (9.193965089132064 45.48018504654998)
Via Leone Pancaldo,5175,16.5,POINT (9.210060103428575 45.47603504055927)
Via Archimede,5165,15.79,POINT (9.217350096077354 45.46551005237993)
Via Anfossi,5071,14.54,POINT (9.212658205131554 45.45952985122831)
Via Angelo Filippetti,4908,16.08,POINT (9.200634295955814 45.45160624889171)
Via Francesco Albani,4905,15.63,POINT (9.145819536434102 45.48123958286886)
Viale Giovanni Migliara,4744,15.17,POINT (9.142698627103131 45.47782571122861)
Via Prospero Moisè Loria,4681,13.88,POINT (9.18573427561401 45.4660445600428)
Via Caravaggio,4681,13.88,POINT (9.162617211559006 45.45882944582312)
Via Stendhal,4681,13.88,POINT (9.158649863507659 45.45441034307483)
Via Bernardino Lanino,4681,13.88,POINT (9.160454088432608 45.45715855442874)
Via Vincenzo Foppa,4681,13.88,POINT (9.160541386292792 45.45773308844932)
Via Pietro Custodi,4650,14.75,POINT (9.182034151606596 45.45130394275162)
Via privata Bobbio,4650,12.75,POINT (8.891308873433857 45.58411902605171)
Via Mortara,4650,12.75,POINT (9.173460104117851 45.45449002899903)
Via Fra' Luca Pacioli,4650,12.75,POINT (9.171310062134324 45.45685003765712)
Viale Coni Zugna,4650,12.75,POINT (9.168538579196959 45.45771496515106)
Via Modestino,4650,12.75,POINT (9.168884817437172 45.45768581318266)
Piazza Duca d'Aosta,4579,14.04,POINT (9.20314853226748 45.48578223049063)
Via Cenisio,4513,13.5,POINT (9.159645862265936 45.48772195652481)
Via Giovanni Antonio Plana,4513,13.5,POINT (9.153529165078494 45.49001930784185)
Viale Abruzzi,4504,14.42,POINT (9.21718011108095 45.47478215858978)
Corso 22 marzo,4497,13.95,POINT (9.220250070827049 45.46214299253479)
Viale Daniele Ranzoni,4492,14.5,POINT (9.144892574065446 45.46997642169522)
Piazza Carlo Stuparich,4422,14.25,POINT (9.143028276133858 45.48318807212317)
Viale Enrico Elia,4422,14.25,POINT (9.142895119156766 45.48146532499231)
Viale Lodovico Scarampo,4413,14.08,POINT (9.145400310873109 45.4854223673291)
Cavalcavia Renato Serra,4413,14.08,POINT (9.151318872541864 45.48993119453384)
Piazzale Cimitero Monumentale,4406,13.25,POINT (9.178679438396179 45.48410002397563)
Via Ceresio,4406,13.25,POINT (9.180175346623283 45.48385827535697)
Alzaia Naviglio Pavese,4392,12.08,POINT (9.168923275318566 45.42539586758985)
Via Bernina,4281,12.81,POINT (9.181142234810292 45.49544038228472)
Via Errico Petrella,4281,12.81,POINT (9.210392260288359 45.48350663567025)
Via Giovanni Battista Pergolesi,4281,12.81,POINT (9.210691859952513 45.48489208866687)
Via Lodovico Settala,4281,12.81,POINT (9.205368786108322 45.47969038307829)
Via Saverio Mercadante,4281,12.81,POINT (9.212710411061833 45.48372156019314)
Via Mauro Macchi,4281,12.81,POINT (9.212205074360696 45.48907503974115)
Via Napo Torriani,4281,12.81,POINT (9.20368619204775 45.48104254006965)
Viale Monte Ceneri,4219,13.06,POINT (9.154234447422207 45.49198956673633)
Via Gustavo Modena,4169,13.38,POINT (9.215577897541559 45.47081413316336)
Via Achille Maiocchi,4169,13.38,POINT (9.215030069097423 45.47590005000862)
Via del Ruzzante,4169,13.38,POINT (9.216525107257311 45.47003504376394)
Viale Gran Sasso,4169,13.38,POINT (9.220073727997535 45.48230946211588)
Via dei Barbarigo,4169,13.38,POINT (9.21650008727633 45.47145504293564)
Via Francesco Hayez,4169,13.38,POINT (9.215642297654902 45.47544943426588)
Via Alessandro Stradella,4169,13.38,POINT (9.216110269885951 45.47859087224221)
Via Carlo Goldoni,4169,13.38,POINT (9.214770208759125 45.46926019838819)
Viale Murillo,4044,13.25,POINT (9.143370182682466 45.47511978266152)
Via privata Donato Montorfano,4044,13.25,POINT (9.145035058793155 45.47246504131354)
Piazzale Tripoli,4044,13.25,POINT (9.149345855677312 45.45873723612372)
Via Alessandro Magnasco,4044,13.25,POINT (9.146080114481066 45.47231003896906)
Via Roncaglia,4044,13.25,POINT (9.152273398481865 45.45895995528534)
Piazza Simone Bolivar,4044,13.25,POINT (9.152642071892076 45.45493715686964)
Via Lorenzo Ghiberti,4044,13.25,POINT (9.144904928549579 45.47448473837101)
Via Jacopo della Quercia,4044,13.25,POINT (9.144573971225128 45.47496217116217)
Via Lorenteggio,4044,13.25,POINT (9.135065699009775 45.44940736668755)
Viale Misurata,4021,12.42,POINT (9.152696285390729 45.45538609975839)
Via Ventimiglia,3975,10.75,POINT (9.170107936033515 45.45372937001616)
Via Tortona,3975,10.75,POINT (9.164003453145137 45.45214964631369)
Via privata Autari,3975,10.75,POINT (9.166070115364192 45.44850004857801)
Via Mario Fusetti,3975,10.75,POINT (9.174785073462303 45.45071505031116)
Via Mario Pichi,3975,10.75,POINT (9.175107532718531 45.44665985326552)
Via Privata Sartirana,3975,10.75,POINT (9.117285716123511 45.54437324913008)
Via privata Paolo Giorza,3975,10.75,POINT (9.166340096465461 45.45132504331475)
Piazzale delle Milizie,3975,10.75,POINT (9.15605100502756 45.44899933927054)
Via privata Gaspare Bugatti,3975,10.75,POINT (9.044214192029674 45.52841564004919)
Via privata dei Crollalanza,3975,10.75,POINT (9.165792262577748 45.44563016337037)
Via privata Eugenio Barsanti,3975,10.75,POINT (8.929588856211343 45.54798304992961)
Via delle Foppette,3975,10.75,POINT (9.155923251538239 45.45099614648763)
Via Pasquale Paoli,3975,10.75,POINT (9.171893753210302 45.45044732180641)
Via Cola di Rienzo,3975,10.75,POINT (9.158179756879967 45.45556018315223)
Via Cerano,3975,10.75,POINT (9.167316224914801 45.45422508087846)
Via Novi,3975,10.75,POINT (9.16579506321149 45.45321505770703)
Vicolo Lavandai,3975,10.75,POINT (9.174725523857099 45.4520186992002)
Viale Romolo,3975,10.75,POINT (9.167509887058465 45.44430155987096)
Via Montevideo,3975,10.75,POINT (9.165458629311319 45.45723759878287)
Via Andrea Solari,3975,10.75,POINT (9.158163641688212 45.45374050945367)
Via Modigliani,3975,10.75,POINT (9.158335085566321 45.45624505284067)
Via Antonio Lecchi,3975,10.75,POINT (9.174157231985033 45.44467710959866)
Alzaia Naviglio Grande,3975,10.75,POINT (9.141159602882677 45.44478618149151)
Via Filippo Argelati,3975,10.75,POINT (9.173537260488109 45.45064725592191)
Via Elia Lombardini,3975,10.75,POINT (9.164391027794105 45.44875058079942)
Piazza Arcole,3975,10.75,POINT (9.172520159371809 45.44973506008467)
Via Corsico,3975,10.75,POINT (9.173270905751677 45.45260326467292)
Piazzale Stazione Genova,3975,10.75,POINT (9.170297350707832 45.45344946978899)
Ripa di Porta Ticinese,3975,10.75,POINT (9.165533580999544 45.44969564909759)
Via Alessandria,3975,10.75,POINT (9.172081856699883 45.45381535483293)
Via Angelo Fumagalli,3975,10.75,POINT (9.217080073066555 45.52818003368014)
Cavalcavia delle Milizie,3975,10.75,POINT (9.155600112469671 45.4501200399595)
Via Barbavara,3975,10.75,POINT (9.171080774378497 45.45472753342911)
Via Bergognone da Fossano,3975,10.75,POINT (9.163692919489492 45.4539494289891)
Via Casale,3975,10.75,POINT (9.170591872960999 45.4517432450164)
Via Carlo D'Adda,3975,10.75,POINT (9.161153338918206 45.44689622861494)
Via Forcella,3975,10.75,POINT (9.167599482613703 45.4526658408428)
Via Eugenio Villoresi,3975,10.75,POINT (9.162699509010929 45.44824658366672)
Via Giovanni Pastorelli,3975,10.75,POINT (9.161378079592101 45.44685803569404)
Via Salaino,3975,10.75,POINT (9.164305096103021 45.45660004739491)
Via Valparaiso,3975,10.75,POINT (9.163724612569577 45.45731004166653)
Via Voghera,3975,10.75,POINT (9.16601693130915 45.45381908412424)
Via Giovanni Segantini,3975,10.75,POINT (9.172874483669988 45.4456820306963)
Via Orseolo,3975,10.75,POINT (9.169021622120166 45.45645952123327)
Viale Carlo Troya,3975,10.75,POINT (9.154272662171842 45.45218829825076)
Viale Renato Serra,3925,12.63,POINT (9.156666345916456 45.49343380585123)
Via Emilio Gola,3925,10.75,POINT (9.173804843083346 45.44891002841709)
Via Magolfa,3925,10.75,POINT (9.175532109388589 45.45021140190794)
Via Giosuè Borsi,3925,10.75,POINT (9.172985981267006 45.44767887823156)
Via Cesare Balbo,3875,10.75,POINT (9.195966837287935 45.44768245511898)
Via Giuseppe Lagrange,3875,10.75,POINT (9.178586567614547 45.44886282170599)
Via Francesco Soave,3875,10.75,POINT (9.196280120560646 45.44763446563032)
Via Giambologna,3875,10.75,POINT (9.185392847280811 45.44784445613868)
Via Vincenzo Brunacci,3875,10.75,POINT (9.178505087820113 45.44489503393177)
Via Conchetta,3875,10.75,POINT (9.178012511627392 45.4462122707282)
Via Gentilino,3875,10.75,POINT (9.181178656031134 45.44901411857597)
Via Roberto Sarfatti,3875,10.75,POINT (9.188636381425921 45.44821647784669)
Via Ettore Troilo,3875,10.75,POINT (9.177925187508578 45.44679201506699)
Via Pavia,3875,10.75,POINT (9.179111169379537 45.4474200228186)
Via Carlo Vittadini,3875,10.75,POINT (9.193990713560282 45.44817646648752)
Via Giovenale,3875,10.75,POINT (9.184652439025443 45.44951860787229)
Via Carlo Maderno,3875,10.75,POINT (9.179576481484295 45.44419486413076)
Via Atto Vannucci,3875,10.75,POINT (9.198655099234855 45.44943004169009)
Via Luigi Castiglioni,3875,10.75,POINT (9.189426754942511 45.44741623992233)
Via Vignola,3875,10.75,POINT (9.194556791890399 45.4492581488388)
Via Trebbia,3875,10.75,POINT (9.200359142500995 45.44780887057836)
Via Passo Buole,3875,10.75,POINT (9.208242144343394 45.44808507137474)
Via Livenza,3875,10.75,POINT (9.200097588995922 45.4481449599906)
Viale Johann Sebastian Bach,3875,10.75,POINT (9.185586894186509 45.567423044073)
Largo Gustav Mahler,3875,10.75,POINT (9.17944038665191 45.44656152754657)
Via Altaguardia,3875,10.75,POINT (9.199368970887132 45.45058892146983)
Piazza Sraffa,3875,10.75,POINT (9.189107460793972 45.44936270960953)
Piazza Tito Lucrezio Caro,3875,10.75,POINT (9.183398115467797 45.44932853942515)
Via Balilla,3875,10.75,POINT (9.181953673007062 45.44748858571995)
Via Bellezza,3875,10.75,POINT (9.196720130601566 45.44860954746815)
Via Carlo Bravalle,3875,10.75,POINT (9.18288006409206 45.44821504291531)
Via Giulietta Pezzi,3875,10.75,POINT (9.196765105797326 45.44813503764948)
Cavalcavia Monte Ceneri,3829,11.75,POINT (9.156666345916456 45.49343380585123)
Via Giuseppe Ripamonti,3735,11.75,POINT (9.196510086393232 45.45201003339702)
Piazzale Loreto,3692,11.48,POINT (9.216217919436707 45.4861777941121)
Viale Zara,3680,10.98,POINT (9.194051601939444 45.49383592516875)
Via Giacomo Soldati,3638,10,POINT (9.16908090970291 45.48629593466499)
Via Giordano Bruno,3638,10,POINT (9.175604388645493 45.4806997449114)
Via Enrico Tellini,3638,10,POINT (9.163857380477832 45.49085714619765)
Via Domenico Cucchiari,3638,10,POINT (9.166318526453589 45.48933840610538)
Via Cesena,3638,10,POINT (9.162970110384265 45.49142505297969)
Via Calabria,3638,10,POINT (9.169582740132627 45.49561303397979)
Via Tolentino,3638,10,POINT (9.160655943439329 45.48837224202077)
Via Braccio da Montone,3638,10,POINT (9.177881591936927 45.48091923452062)
Via Aristotile Fioravanti,3638,10,POINT (9.176269681502607 45.48253079531266)
Via Aosta,3638,10,POINT (9.165680105409436 45.49227005359357)
Via privata Dolfin,3638,10,POINT (9.164034303482218 45.493730904743)
Piazza Diocleziano,3638,10,POINT (9.166469246257495 45.48746530645612)
Via Nicostrato Castellini,3638,10,POINT (9.170220079445386 45.49620504281307)
Piazza Carlo Caneva,3638,10,POINT (9.161419432829732 45.48746003559208)
Piazza Antonio Gramsci,3638,10,POINT (9.168877418843163 45.48143633242013)
Piazzale Lugano,3638,10,POINT (9.165900555721864 45.49885725358343)
via F. Koristka,3638,10,POINT (9.163929281134465 45.48697399686495)
Via Arnolfo di Cambio,3638,10,POINT (9.176351709791062 45.48195589275403)
Via Giovanni Battista Niccolini,3638,10,POINT (9.177096220233278 45.48269714638904)
Via Messina,3638,10,POINT (9.172077692231563 45.48788498302629)
Via Principe Eugenio,3638,10,POINT (9.168255556251921 45.49229135709393)
Via Piero della Francesca,3638,10,POINT (9.163106490958123 45.48439352414127)
Via Antonio Lazzati,3638,10,POINT (9.161430061404317 45.48599504655506)
Via Privata Chieti,3638,10,POINT (9.163672929977757 45.48498432657997)
Via Pietro Marussig,3638,10,POINT (9.165960060975493 45.4866100477458)
Via Agudio,3638,10,POINT (9.16543550061839 45.482548627137)
Via Saronno,3638,10,POINT (9.167240061409416 45.48298504226049)
Via Luigi Sabatelli,3638,10,POINT (9.168424911173922 45.48109145016684)
Via Luigi Nono,3638,10,POINT (9.177202658542331 45.48448196844524)
Via Luigi Manfredini,3638,10,POINT (9.16989366610235 45.48029269811443)
Viale Certosa,3633,11.75,POINT (9.138127731816439 45.49614157854747)
Via Rubens,3596,12,POINT (9.141640094640493 45.46737504679122)
Viale Tibaldi,3533,10.25,POINT (9.182115997005733 45.44392489218222)
Viale Isonzo,3531,10.25,POINT (9.20005142401871 45.4466865765566)
Viale Toscana,3500,10.25,POINT (9.191660972828728 45.44621829385309)
Piazzale Lorenzo Lotto,3457,11.5,POINT (9.142619585896689 45.47981811196491)
Via dei Gradenigo,3457,11.5,POINT (9.132144191493092 45.47754933595105)
Via dei Chiaramonti,3457,11.5,POINT (9.134006204380565 45.47870373015785)
Via degli Erizzo,3457,11.5,POINT (9.133581426525096 45.47713467448711)
Via degli Alerami,3457,11.5,POINT (9.132800083379934 45.47837003648576)
Via Cesenatico,3457,11.5,POINT (9.135723234587319 45.48370656798731)
Via Cassino,3457,11.5,POINT (9.138011141853189 45.48381130989481)
Via Cascina Mojetta,3457,11.5,POINT (9.137187244382595 45.48488336556671)
Via Calliano,3457,11.5,POINT (9.140372432469903 45.48416323282516)
Via Agrigento,3457,11.5,POINT (9.137195181160264 45.48347870542013)
Via Brentonico,3457,11.5,POINT (9.141309120221521 45.48635699065331)
Via Breguzzo,3457,11.5,POINT (9.139004047796856 45.48703465680935)
Via Bertinoro,3457,11.5,POINT (9.142122147974334 45.48403974875178)
Piazza Santa Maria Nascente,3457,11.5,POINT (9.137455909803782 45.48619132602872)
Via Andora,3457,11.5,POINT (9.13402505178658 45.48427503811395)
Via Alcamo,3457,11.5,POINT (9.138345084683195 45.48294005239519)
Piazzale Angelo Moratti,3457,11.5,POINT (9.130624701168394 45.47922730704948)
Via Albani,3457,11.5,POINT (9.145819536434102 45.48123958286886)
Via dei Frangipani,3457,11.5,POINT (9.131666200910361 45.47921782085005)
Via Vesio,3457,11.5,POINT (9.141365084397307 45.48462003724865)
Via Carlo Osma,3457,11.5,POINT (9.129927705554744 45.48602731263291)
Via Giuseppe Pogatschnig,3457,11.5,POINT (9.13549330224167 45.48508053057468)
Via Ippodromo,3457,11.5,POINT (9.124897925757145 45.48596674916968)
Via Isernia,3457,11.5,POINT (9.1379147039477 45.48831560606749)
Via Lerici,3457,11.5,POINT (9.131048368963119 45.48505202473234)
Via Levanto,3457,11.5,POINT (9.136582342370421 45.48364465082012)
Via Lovere,3457,11.5,POINT (9.138860179840185 45.48448728899832)
Via Mario Sironi,3457,11.5,POINT (9.134203214526035 45.48560615516488)
Via Martino Bassi,3457,11.5,POINT (9.138456298192056 45.48374635649493)
Via Sesto Calende,3457,11.5,POINT (9.137991611100041 45.48490158092701)
Via Montichiari,3457,11.5,POINT (9.140440099472386 45.48498003999003)
Via Nago,3457,11.5,POINT (9.140014551906516 45.48667935310024)
Via Oderzo,3457,11.5,POINT (9.138974864881758 45.4841411831995)
Via Pasquale Stanislao Mancini,3457,11.5,POINT (9.136870752880498 45.47764546803925)
Via Pegaso,3457,11.5,POINT (9.124831818540617 45.48144953244734)
Via Pergine,3457,11.5,POINT (9.138443077089004 45.48764712385634)
Via Pietra Ligure,3457,11.5,POINT (9.133527128765666 45.48493456088148)
Via Privata Bisanzio,3457,11.5,POINT (9.120482950542096 45.48320645618428)
Via Privata del Centauro,3457,11.5,POINT (9.360748770209648 45.51075262022651)
Via Giuseppe Terragni,3457,11.5,POINT (9.133091396125945 45.48491128255046)
Via Marco Cremosano,3457,11.5,POINT (9.140143290641484 45.48306988837959)
Via Diano Marina,3457,11.5,POINT (9.132120054742373 45.48474503237975)
Via Versilia,3457,11.5,POINT (9.131410107543417 45.4849300419376)
Via dei Piccolomini,3457,11.5,POINT (9.125392421809075 45.47833348574186)
Via dei Soranzo,3457,11.5,POINT (9.133713606060994 45.47837792083065)
Via Fausto Coppi,3457,11.5,POINT (9.137612392333201 45.47740063276073)
Via Fetonte,3457,11.5,POINT (9.123161052512801 45.48331847526299)
Via Finale Ligure,3457,11.5,POINT (9.133637172269326 45.4843668802682)
Via Francesco Goya,3457,11.5,POINT (9.132364513642845 45.48615473669889)
Via Gignese,3457,11.5,POINT (9.139969614879718 45.47822708879474)
Via Russi,3457,11.5,POINT (9.141806647166439 45.48414989938014)
Via Giovanni Boine,3457,11.5,POINT (9.142205783004723 45.48537296971934)
Corso Lodi,3425,9.25,POINT (9.206853013455683 45.44922124242098)
Via Emanuele Muzio,3388,9.13,POINT (9.200089748628853 45.49099509649635)
Via Giovanni Keplero,3388,9.13,POINT (9.196306079339752 45.49336620826215)
Via privata Erasmo Boschetti,3388,9.13,POINT (9.197342683687499 45.49427362873693)
Via privata Gasparo da Salò,3388,9.13,POINT (9.200725094043065 45.49234004248508)
Via Timavo,3388,9.13,POINT (9.198779826504474 45.49079305781211)
Viale Sondrio,3388,9.13,POINT (9.199461430312265 45.4904159865748)
Viale Nazario Sauro,3388,9.13,POINT (9.195313820846362 45.49184183333747)
Via della Maggiolina,3388,9.13,POINT (9.201900095818138 45.49242504264406)
Via Leopoldo Gasparotto,3388,9.13,POINT (9.266325053417262 45.39473003493376)
Via Francesco Restelli,3388,9.13,POINT (9.19671007860299 45.48901504626917)
Via Francesco Nava,3388,9.13,POINT (9.19076875576584 45.49490316171335)
Via Adele Martignoni,3388,9.13,POINT (9.19670196972154 45.49324601875121)
Via Tonale,3388,9.13,POINT (9.202705562627518 45.48880027058155)
Via Edoardo Porro,3388,9.13,POINT (9.179438382634237 45.49560875695829)
Via Lepontina,3388,9.13,POINT (9.182560084938331 45.49366004555191)
Viale Vincenzo Lancetti,3388,9.13,POINT (9.172373567576413 45.49510111663066)
Via Carlo Gomes,3388,9.13,POINT (9.211049868869932 45.48391500342002)
Francesco Tamagno,3388,9.13,POINT (9.053115085257744 45.4236700434348)
Via Abbadesse,3388,9.13,POINT (9.194950503925636 45.49142444840506)
Via Giuseppe Piazzi,3388,9.13,POINT (9.181750099724965 45.49432003660795)
Via privata Sommacampagna,3388,9.13,POINT (9.180686560673641 45.49639128062631)
Via Franchino Gaffurio,3388,9.13,POINT (9.210023689051484 45.48432163753275)
Via Serchio,3388,9.13,POINT (9.19256151840837 45.48948884114277)
Via Luigi Casanova,3388,9.13,POINT (9.200970055163367 45.48680004453604)
Viale Stelvio,3388,9.13,POINT (9.190106283512968 45.49323426183464)
Via Giuseppina Lazzaroni,3388,9.13,POINT (9.20086326592453 45.48647845376212)
Piazza Napoli,3338,10.13,POINT (9.153676301708153 45.45320222322334)
Piazza Trento,3313,10,POINT (9.203239668148353 45.447076192959)
Viale Brianza,3288,10.08,POINT (9.209523327703984 45.48924839891807)
Piazza Serafino Belfanti,3269,10.5,POINT (9.172608297706869 45.44372050290689)
Viale Cassala,3269,10.5,POINT (9.157218783329496 45.44904562538184)
Viale Liguria,3269,10.5,POINT (9.169092937806067 45.44401420620525)
Cavalcavia Adriano Bacula,3246,9.42,POINT (9.159235032023792 45.49511000468808)
Viale Luigi Torelli,3188,8.88,POINT (9.172259340736737 45.49530331262735)
Viale dei Mille,3163,10.25,POINT (9.217206964135041 45.47317403791424)
Piazzale Dateo,3163,10.25,POINT (9.215990048468115 45.46830031347727)
Via Macedonio Melloni,3163,10.25,POINT (9.215449125069167 45.46664005865651)
Viale Piceno,3163,10.25,POINT (9.217352816403725 45.46464457561257)
Via Sant'Achilleo,3163,10.25,POINT (9.234395366152611 45.4677573658821)
Via Nicola Antonio Porpora,3163,10.25,POINT (9.237250075320361 45.48629004763731)
Piazza Giovanni Giolitti,3163,10.25,POINT (9.224818431876512 45.47560606728928)
Piazza Giuseppe Grandi,3163,10.25,POINT (9.220301384397013 45.46150522633534)
Via Luigi Vanvitelli,3163,10.25,POINT (9.22138252739042 45.47274002299146)
Via Leopoldo Cicognara,3163,10.25,POINT (9.221436345600138 45.46889005579929)
Viale Mugello,3163,10.25,POINT (9.22371011656881 45.46081993529435)
Piazzale Gabrio Piola,3163,10.25,POINT (9.223483269159829 45.47985582364618)
Via Giuseppe Piotti De' Bianchi,3163,10.25,POINT (9.219824681925868 45.46492527418523)
Via Giuseppe Compagnoni,3163,10.25,POINT (9.221494813408237 45.46548484386467)
Via Giulio Ceradini,3163,10.25,POINT (9.219635315123631 45.4692399463805)
Via Giovanni Cova,3163,10.25,POINT (9.236370059305969 45.46888003846114)
Via Amedeo d'Aosta,3163,10.25,POINT (9.218239379509226 45.47539755734665)
Viale Campania,3163,10.25,POINT (9.223644919093086 45.46485538776788)
Via Angelo Dubini,3163,10.25,POINT (9.224615068745152 45.47383005520042)
Via Giacinto Gallina,3163,10.25,POINT (9.222556346989665 45.47024260981369)
Via Terenzio,3163,10.25,POINT (9.225778415582857 45.46380446865463)
Via Attilio Deffenu,3163,10.25,POINT (9.222525083097878 45.47716005960346)
Via Dino Compagni,3163,10.25,POINT (9.225634741338304 45.48022004099573)
Via Francesco Denti,3163,10.25,POINT (9.224390056554398 45.47570005779886)
Via Francesco Nullo,3163,10.25,POINT (9.218333324297303 45.47067500846021)
Via Giovanni Battista Piranesi,3163,10.25,POINT (9.230263302260013 45.46070039306859)
Via Pasini,3163,10.25,POINT (9.025439536522523 45.5038213013109)
Via Turroni,3163,10.25,POINT (9.222538677847714 45.46739314005318)
Piazza Ascoli,3163,10.25,POINT (9.25196902959658 45.49347574656214)
Via Stefano Canzio,3163,10.25,POINT (9.218245115698423 45.48519503580648)
Via Serafino dell'Uomo,3163,10.25,POINT (9.220660521013249 45.4641300474102)
Viale Romagna,3163,10.25,POINT (9.223527364625701 45.47161617661756)
Via privata Druso,3163,10.25,POINT (9.231695094719385 45.46607004733109)
Via privata Arpesani,3163,10.25,POINT (9.220638177747267 45.4663050191996)
Piazza Adigrat,3163,10.25,POINT (9.227126395016899 45.46549018690573)
Via Privata Abano,3163,10.25,POINT (9.23250507993275 45.48712505283166)
Viale Marche,3133,8.83,POINT (9.199055997305733 45.49441591791113)
Via Savona,3125,9.92,POINT (9.146902273135812 45.44864164241387)
Via Evangelista Torricelli,3125,9.75,POINT (9.177716933182092 45.44526056505905)
Viale Umbria,3100,9.42,POINT (9.214118895238606 45.45243551453689)
Piazzale Costantino Nigra,3088,8.75,POINT (9.171128235390789 45.49645635389424)
Viale Luigi Bodio,3088,8.75,POINT (9.168633809969391 45.49727491957897)
Via San Cristoforo,3079,10.17,POINT (9.155020884645852 45.44954698422419)
Via Sant'Aquilino,3078,10.5,POINT (9.135645436436453 45.47675626457693)
Via degli Odescalchi,3078,10.5,POINT (9.13489699822374 45.47777013218009)
Via degli Ottoboni,3078,10.5,POINT (9.135094543571052 45.47820419114542)
Via Monte Ortigara,3069,9,POINT (9.217710243054682 45.45863436357612)
Via Stresa,3006,8.69,POINT (9.203010474376226 45.49345485866081)
Via Evaristo Stefini,3006,8.69,POINT (9.202749921795437 45.49712547413255)
Piazzale Carlo Maciachini,3006,8.69,POINT (9.186337168621158 45.49762333771778)
Via Lario,3006,8.69,POINT (9.190695513509617 45.49327091382949)
Via Paolo Bassi,3006,8.69,POINT (9.188336173905789 45.49446352620893)
Via Angelo Frignani,3006,8.69,POINT (9.200440109335091 45.49667558316003)
Via Veglia,3006,8.69,POINT (9.195022426697522 45.49987500643954)
Via Achille Bizzoni,3006,8.69,POINT (9.198827860490413 45.49495476848023)
Via Raffaele Parravicini,3006,8.69,POINT (9.208844297634931 45.49308155807051)
Via Giulio Bellinzaghi,3006,8.69,POINT (9.188468898350063 45.49668223629366)
Viale Lunigiana,3006,8.69,POINT (9.20662629312093 45.49095718076314)
Via Cristoforo Gluck,3006,8.69,POINT (9.208111241175258 45.49235528625572)
Viale Edoardo Jenner,2984,8.5,POINT (9.176865099494158 45.49681187591109)
Piazza Imperatore Tito,2975,7.75,POINT (9.218478970784975 45.45438091857303)
