Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Terraggio,8250,24.5,POINT (9.175414877811964 45.46453920201478)
Largo Paolo D'Ancona,8250,24.5,POINT (9.17569538697594 45.46608662496672)
Via Santa Marta,8250,24.5,POINT (9.183465096440916 45.46228035763869)
Via del Bollo,8250,24.5,POINT (9.184267985409855 45.46327075589764)
Via San Pio V,8250,24.5,POINT (9.17761354995408 45.46120797220494)
Via Cardinale Federico,8250,24.5,POINT (9.18633588221055 45.46348534738466)
Via Caminadella,8250,24.5,POINT (9.177165698522991 45.45987169353988)
Via delle Orsole,8250,24.5,POINT (9.182203947139502 45.4653321183787)
Via Valpetrosa,8250,24.5,POINT (9.185334637630117 45.46227068707205)
Via San Nicolao,8250,24.5,POINT (9.176981710820687 45.46673892612719)
Via San Maurilio,8250,24.5,POINT (9.18385886118965 45.46228785733557)
Via Circo,8250,24.5,POINT (9.180518118529793 45.46154698948938)
Via Bettino Ricasoli,8250,24.5,POINT (9.179546962872378 45.46813117842907)
Via San Giovanni Sul Muro,8250,24.5,POINT (9.181033953408033 45.4664267855176)
Via San Bernardino Luini,8250,24.5,POINT (9.196513014679725 45.46243653596957)
Via Porlezza,8250,24.5,POINT (9.182398138532857 45.46675416672321)
Via Morigi,8250,24.5,POINT (9.181485058381634 45.46221324021968)
Via Moneta,8250,24.5,POINT (9.185008868407376 45.46388567622586)
Piazza Santa Maria Beltrade,8250,24.5,POINT (9.18645267421191 45.46297849752055)
Via Privata Maria Teresa,8250,24.5,POINT (9.181583651912408 45.46304315932218)
Via Giacomo Puccini,8250,24.5,POINT (9.180339512460014 45.46711216815681)
Via Medici,8250,24.5,POINT (9.180939302981495 45.4609296674698)
Via Marco Minghetti,8250,24.5,POINT (9.1776450626448 45.46875504333002)
Via Francesco Novati,8250,24.5,POINT (9.177131366146314 45.46025728213957)
Via Luigi Illica,8250,24.5,POINT (9.179175095250443 45.46690004433826)
Piazzale Luigi Cadorna,8250,24.5,POINT (9.176830877635668 45.4677531979437)
Viale Berengario,8113,26.17,POINT (9.151302182580581 45.47461778925762)
Viale Eginardo,8113,26.17,POINT (9.151654824253434 45.47958072798576)
Via dei Piatti,7725,22.75,POINT (9.185361804669654 45.46057713520795)
Via Stampa,7725,22.75,POINT (9.182997399274997 45.45975673028917)
Via Soncino,7725,22.75,POINT (9.182678146219279 45.46025393685967)
Via Lanzone,7725,22.75,POINT (9.176709540361321 45.46073546026606)
Via dell'Annunciata,7671,23.13,POINT (9.192455869806363 45.47260501794065)
Corso Giuseppe Garibaldi,7671,23.13,POINT (9.184108252886933 45.47645613233927)
Via San Simpliciano,7671,23.13,POINT (9.184735063083821 45.47287504210736)
Via Brera,7671,23.13,POINT (9.187630046712059 45.47106135697621)
Via Borgonuovo,7671,23.13,POINT (9.189560063737233 45.47301005361277)
Via Plutarco,7431,23.88,POINT (9.157478194739344 45.47526496189984)
Via Euripide,7431,23.88,POINT (9.159492701590368 45.47467213174637)
Piazza San Nazaro in Brolo,7200,21,POINT (9.192637014499795 45.45831631365554)
Via Celestino IV,7200,21,POINT (9.182004549301947 45.45952002852552)
Via Crocefisso,7200,21,POINT (9.186648542976206 45.45701826019099)
Largo Tommaso Gallarati Scotti,7200,21,POINT (9.182988797592634 45.45975852013716)
Via Carlo Ottavio Cornaggia,7200,21,POINT (9.186106735553844 45.4583483413362)
Via Carlo Giuseppe Merlo,7200,21,POINT (9.196308522615311 45.46266514917191)
Largo Jorge Luis Borges,7200,21,POINT (9.188409177950769 45.4627246208433)
Vicolo Santa Maria Valle,7200,21,POINT (9.183445048438934 45.46019942010794)
Via Amedei,7200,21,POINT (9.18719605976642 45.45904023431498)
